Snake Eyes,Piercing eyes shake your confidence.,,2,96,3,0,1,1,,
Cat Eyes,These eyes warm your heart.,,2,54,3,0,1,1,,
Them Eyes,There is something mysterious about them eyes.,,1,14,4,0,0,1,27,0
Fish Eyes,These help you see the light.,,1,15,4,0,0,1,29,0
Come Hither Look,"You succumb to the stare of pair of hypnotic eyes, to much consequence.",,2,89,3,0,0,1,26,0
Puppy Dog Eye,"Gross, but still adorable.",,2,6,3,0,0,1,61,4
Big Triple Eye,By looking into this eye you are soothed 3 times over.,,2,50,3,0,0,1,20,2
Stink Eye,Makes you feel insecure and threatened.,,1,29,4,0,0,1,54,4
Eye of the Storm,You feel oddly calm.,,2,37,3,0,0,1,11,0
Intriguing Wink Twinkle,You are intrigued.,,1,40,4,0,0,1,7,0
Sore Eye,Makes you feel bad for looking at it.,,1,58,4,0,0,1,28,2
Klutz,"A Klutz draws near, falling into everything in his path. If you're lucky, he will be his only victim.",,3,35,0,0,0,1,4,2
Gumshoe,Questions you profusely.,,2,92,3,0,0,0,,
Tony Robbin',You pay him a lot of money to boost your confidence.,,3,49,2,0,0,1,13,3
Boss,He wants you to work on Saturday.,,3,44,2,0,0,1,47,1
Modern Racist,He insults you on a profoundly innovative level.,,1,61,4,0,0,1,12,0
Blushing Bridezilla,You are happy you are not marrying this intensely delusional and difficult woman.,,1,22,4,0,0,1,61,3
Green Shyster,He takes your money with promises of a healthier future for us all.,,2,97,4,0,1,1,,
Game Show Ghost,BOO! YOU WIN!,,2,98,2,0,0,1,35,4
Wrong-Sided Lighting Man,His shadow's on the wrong side. It's highly disturbing.,,2,38,3,0,0,0,,
Big Mistake,Hanging out with this guy has caused you nothing but trouble.,,3,93,2,0,0,1,26,1
Stan's Head,It is full of great stuff.,,3,38,2,0,0,1,24,3
Ultrastache,"He is very wise, and his facial hair inspires confidence.",,3,95,2,0,0,1,32,3
Horny Feminist,All she wants is some respect. Sometimes that's tough to find.,,2,81,3,0,0,1,,
Face of Evil,This clown is just as sinister as it looks.,,3,56,2,0,0,0,,
Vegas Lights Lady,She lights up your life.,,2,53,3,0,0,1,3,0
Business Douche,He comes after you looking for capital.,,4,40,1,0,0,1,,
Sir Reginald The Cyclopean Monocle Mayor,"If you've got the gumption, he can provide the deeds!",,3,46,2,0,0,1,36,1
Game Master 1,"""The safest route is along the bottom of the board. Do you really want to play it safe?""",,1,10,2,0,0,0,,
Game Master 2,"""Avoiding all of the dark monsters is a good idea.""",,1,15,2,0,0,0,,
Gar,"""Higher stats don't make you a better person, only different.""",,1,26,2,0,0,0,,
Chang,"""Potions shake your game up.""",,1,25,2,0,0,0,,
Sean,"""Pay close attention to colours and similar character features. They will help guide you.""",,1,20,2,0,0,0,,
Tyrone,"""Monsters will engage you in battle, and you can win by pumping up your stats.""",,1,31,2,0,0,0,,
All Man,A god among men. Leave an impression with him.,,4,21,1,0,0,1,48,1
Twice the Man,He is twice the man you are and makes you feel insignificant.,,3,27,2,0,0,1,49,1
Man's Man,You admire his qualities a lot and he inspires you to be a better person.,,3,61,2,0,0,0,,
Half a Man,You feel tall.,,1,9,4,0,0,1,48,3
Other Half a Man,Gross! This guy got the wrong end of the deal.,,1,10,4,0,0,1,49,3
New Man,His Vigour rubs off on yours.,,3,74,3,0,0,1,47,2
Man Enough,"His confidence far exceeds his height. So much so, he challenges you to an arm wrestling match!",,3,59,3,0,0,0,,
Marked Man,Standing next to a guy with this many enemies was a bad decision.,,3,13,2,0,0,1,48,2
Yes Man,He tries hard to win your favour.,,3,51,2,0,0,1,50,2
Best Man,He is better than everybody.,,3,96,2,0,0,1,49,2
Reverse Santa,This un-jolly fellow takes your stuff away for himself.,,1,78,4,0,0,0,,
Serial Dater,This date is going nowhere.,,2,26,3,0,0,1,57,0
Fashion Police,What you wear will never be good enough.,,2,95,3,0,0,1,45,3
Baby with Candy,Looks easy enough to take...,,2,20,3,0,0,1,2,4
