Snake Eyes,Piercing eyes shake your confidence.,-2G,2
Cat Eyes,These eyes warm your heart.,+2G,2
Them Eyes,There is something mysterious about them eyes.,-1G,1
Fish Eyes,These help you see the light.,+1G,1
Come Hither Look,"You succumb to the stare of pair of hypnotic eyes, to much consequence.",-3G,2
Puppy Dog Eye,"Gross, but still adorable.",+3G,2
Big Triple Eye,By looking into this eye you are soothed 3 times over.,+3G,2
Stink Eye,Makes you feel insecure and threatened.,-1G,1
Eye of the Storm,This eye actually calms you a bit.,+2G,2
Intriguing Wink Twinkle,You are intrigued.,+1G,1
Sore Eye,Makes you feel bad for looking at it.,-1G,1
Klutz,A Klutz draws near.,4spin: He falls into you -2V / He bumps into you -1V / His klutziness makes you feel better about yourself +1G / He is his only victim.,3
Gumshoe,Questions you profusely.,-2G,2
Tony Robbin',You pay him a lot of money to boost your confidence.,"-3D, +1G",3
Boss,He wants you to work on Saturday.,"7-Spin: Spin once to set the variable, spin again to match or surpass the number to win and escape. If you lose, -1D, -1G,-1V",3
Modern Racist,He insults you on a profoundly innovative level.,-1G,1
Blushing Bridezilla,You are happy you are not marrying this intensely delusional and difficult woman.,+1D,1
Green Shyster,He takes your money with promises of a healthier future for us all.,-1D and +1G,2
Game Show Ghost,BOO! YOU WIN!,+2D,2
Wrong-Sided Lighting Man,His shadow's on the wrong side. It's highly disturbing.,"-1D, -1G",2
Big Mistake,Hanging out with this guy has caused you nothing but trouble.,"-1D, -1G, -1V",3
Stan's Head,It is full of great stuff.,"+1D, +1G, +1V",3
Ultrastache,"He is very wise, and his facial hair inspires confidence.","+2D, +2G",3
Horny Feminist,"Her intense beliefs are making her incredibly unhappy, and this rubs off on you.","-1D, -1G",2
Face of Evil,"Yep, this clown really is the devil.","-2D, -2G, -2V",3
Vegas Lights Lady,She lights up your life.,"+1D, +1V",2
Business Douche,He comes after you looking for capital.,4-Spin: -1D / -2D / -3D / Escape.,4
Sir Reginald The Cyclopean Monocule Mayor,"If you've got the gumption, he can provide the deeds!",Trade as many gumption as you like for deeds.,1
Game Master 1,Advice: The safest route is along the bottom of the board.,-,1
Game Master 2,Advice: Avoiding all of the dark monsters is a good idea.,-,1
Gar,Eyeballs only effect gumption.,-,1
Chang,Potions shake your game up.,-,1
Sean,Pay close attention to colours and similar character features. They will help guide you.,-,1
Tyrone,Monsters will mostly engage in battle.,-,1
All Man,A god among men. Leave an impression with him.,"4Spin:  1= He likes you. +1D, +1G, +1V 2= He doesn't notice you and walk past. 3= He doesn't thick much of you. -1G 4= He hates you. -1D, -1G, -1V",4
Twice the Man,He is twice the man you are and makes you feel insignificant.,"-2D, -2G, -2V",3
Man's Man,You admire his qualities a lot and he inspires you to be a better person.,"+2D, +2G, +2G",3
Half Man,He makes you feel a bit taller.,+1V,1
Other Half Man,Gross! This guy got the wrong end of the deal.,"-1V If you started this turn on Half a Man, now you feel even worse for the guy. -2V",1
New Man,His Vigour rubs off on yours.,"+3D, +3G, +3G",3
Man Enough,"His confidence far exceeds his height. So much so, he challenges you to an arm wrestling match!",4-Spin vs V: -1D / +1D,3
Marked Man,Standing next to a guy with this many enemies was a bad decision.,"-2D, -2G, -2V",3
Yes Man,He tries hard to win your favour.,"+2D, +2G, +2G",3
Best Man,He is better than everybody.,"-3D, -3G, -3V",3
Reverse Santa,This un-jolly fellow takes your stuff away for himself.,-1D,1
Serial Dater,This date is going nowhere.,-2V,2
Fashion Police,What you wear will never be good enough.,-2G,2
Baby With Candy,Looks easy enough to take...,Leave the baby's candy alone. / Take his candy. +2V and -4G,2
Officer Down,He's directing traffic in an unusual way.,Move straight downward only on your next spin.,1
Crooked Tax Man,This is what you get for associating with this guy.,"-2D, +2G",3
